hgnc_symbol	drugbank_id	relation
DRD5	DB00248	1
HTR1A	DB00248	1
ADRA2C	DB00248	-1
DRD4	DB00248	1
ADRA2B	DB00248	-1
DRD1	DB00248	1
ADRA1A	DB00248	-1
HTR1B	DB00248	1
HTR2C	DB00248	1
ADORA3	DB00201	-1
ADORA2B	DB00201	-1
ADORA1	DB00201	-1
ADORA2A	DB00201	-1
VDR	DB00146	1
VDR	DB02300	1
VDR	DB00136	1
TYMS	DB01101	-1
ACE	DB01197	-1
CHRM3	DB00411	1
SCN4A	DB00564	-1
SCN9A	DB00564	-1
SCN5A	DB00564	-1
OXTR	DB01282	1
DDC	DB00190	-1
TPO	DB00389	-1
HRH1	DB00748	-1
PTGFR	DB00429	1
GSR	DB00262	-1
DRD2	DB01038	-1
HTR2A	DB01038	-1
PTGS2	DB00821	-1
ADRB2	DB00521	-1
ADRB1	DB00521	-1
ADRB2	DB01136	-1
ADRB1	DB01136	-1
ADRB3	DB01136	-1
ADRA1D	DB01136	-1
ADRA1A	DB01136	-1
PTGS2	DB00482	-1
HMGCR	DB00439	-1
CCKAR	DB00403	1
HRH1	DB00341	-1
GNRHR	DB00050	-1
CHRM3	DB00185	1
CHRM1	DB00185	1
SCN10A	DB01161	-1
SLC12A3	DB00880	-1
HRH1	DB01114	-1
DRD4	DB00477	-1
DRD3	DB00477	-1
HTR2A	DB00477	-1
DRD2	DB00477	-1
DRD2	DB01239	-1
DRD3	DB01239	-1
SLC12A3	DB00310	-1
KCNN4	DB00356	1
DPEP1	DB01597	-1
ACE	DBSALT001097	-1
PDE3A	DB01166	-1
PDE3B	DB01166	-1
HRH2	DB00501	-1
SLC47A2	DB00501	-1
CASR	DB01012	1
CYSLTR1	DB00587	-1
HTR4	DB00604	1
SLC6A4	DB00215	-1
HRH1	DB00283	-1
CHRM3	DB00771	-1
CHRM1	DB00771	-1
POLA1	DB00631	-1
RRM2	DB00631	-1
RRM1	DB00631	-1
PPARA	DB00636	1
SLC6A4	DB01242	-1
SLC6A2	DB01242	-1
ADRA2C	DB00575	1
ADRA2B	DB00575	1
ADRA2A	DB00575	1
P2RY12	DB00758	-1
NR1I3	DB00257	-1
DRD4	DB00363	-1
ADRA1D	DB00363	-1
HTR1F	DB00363	1
HTR1E	DB00363	1
HTR1D	DB00363	1
HTR1B	DB00363	1
DRD3	DB00363	-1
HTR2A	DB00363	-1
DRD2	DB00363	-1
SLC6A3	DB00907	-1
OPRK1	DB00318	1
OPRD1	DB00318	1
OPRM1	DB00318	1
TUBB	DB01394	-1
AVPR2	DB00872	-1
AVPR1A	DB00872	-1
HRH1	DB01176	-1
HTR2C	DB00924	-1
HTR2A	DB00924	-1
CHRM3	DB00979	-1
SLC10A1	DB00091	-1
SLCO1B3	DB00091	-1
FPR1	DB00091	-1
SLCO1B1	DB00091	-1
SLC12A3	DB00606	-1
CHRM1	DB00942	-1
HRH1	DB00434	-1
AR	DB04839	-1
PGR	DB01406	1
AR	DB01406	1
RYR1	DB01219	-1
RYR3	DB01219	-1
ADRA1D	DB00298	-1
ADRA1A	DB00298	-1
CHRM2	DB00496	-1
CHRM3	DB00496	-1
ABL1	DB01254	-1
SRC	DB01254	-1
FGR	DB01254	-1
FRK	DB01254	-1
EPHA2	DB01254	-1
YES1	DB01254	-1
HCK	DB01254	-1
PDGFRB	DB01254	-1
KIT	DB01254	-1
LYN	DB01254	-1
BLK	DB01254	-1
SRMS	DB01254	-1
FYN	DB01254	-1
LCK	DB01254	-1
TOP2A	DB00694	-1
DNMT1	DB01262	-1
DNMT3A	DB01262	-1
SLC18A2	DB01089	-1
SLC6A2	DB01151	-1
SLC29A4	DB01151	-1
HRH1	DB00967	-1
OXTR	DB00035	1
AVPR2	DB00035	1
PGR	DB00304	1
NR3C1	DB00547	1
NR3C2	DB01134	1
NR3C1	DB01234	1
HRH1	DB00405	-1
ADRA2B	DB00633	1
ADRA2C	DB00633	1
ADRA2A	DB00633	1
SIGMAR1	DB00514	1
GRIN3A	DB00514	-1
GRIN2C	DB00514	-1
OPRM1	DB00647	1
OPRK1	DB01209	-1
OPRM1	DB01209	1
SCN10A	DB00527	-1
SCN5A	DB00527	-1
TRPA1	DB01435	-1
PDK1	DB08809	-1
PDK2	DB08809	-1
PDK3	DB08809	-1
PDK4	DB08809	-1
CA7	DB01144	-1
CA5B	DB01144	-1
CA12	DB01144	-1
CA9	DB01144	-1
CA1	DB01144	-1
CA2	DB01144	-1
CA4	DB01144	-1
PPARG	DB00586	-1
PTGS1	DB00586	-1
PTGS2	DB00586	-1
ASIC3	DB00586	-1
VKORC1	DB00266	-1
CHRM2	DB00804	-1
CHRM1	DB00804	-1
CHRM3	DB00804	-1
ESR1	DB00890	1
SLC6A3	DB00937	-1
SLC6A2	DB00937	-1
ESRRB	DB00255	-1
ESRRG	DB00255	-1
ESR1	DB00255	1
OPRM1	DB01501	1
PTGS1	DB00861	-1
PTGS2	DB00861	-1
ATP1A1	DB01396	-1
HTR1D	DB00320	1
HTR1B	DB00320	1
HTR1F	DB00320	1
HTR7	DB00320	-1
HTR1E	DB00320	1
CACNA1C	DB00343	-1
HTR3A	DB00343	-1
PTGDR	DB00917	1
PTGFR	DB00917	1
PTGDR2	DB00917	1
TBXA2R	DB00917	1
PTGER4	DB00917	1
PTGER1	DB00917	1
PTGER2	DB00917	1
PTGER3	DB00917	1
CATSPER4	DB00917	1
CATSPER3	DB00917	1
CATSPER1	DB00917	1
CATSPER2	DB00917	1
HRH1	DB01075	-1
OPRM1	DB01081	1
HRH1	DB01146	-1
ADRA2C	DB00449	1
ADRA2B	DB00449	1
ADRA2A	DB00449	1
PDE4A	DB00975	-1
SLC28A1	DB00975	-1
PDE8B	DB00975	-1
PDE5A	DB00975	-1
SLC29A1	DB00975	-1
PDE7B	DB00975	-1
PDE2A	DB00975	-1
PDE10A	DB00975	-1
PDE8A	DB00975	-1
SLC29A4	DB00975	-1
SCN5A	DB00280	-1
ACHE	DB13694	-1
ALDH2	DB00822	-1
TRPM8	DB00825	1
TRPA1	DB00825	1
ADRB2	DB00841	1
ADRB1	DB00841	1
EGFR	DB01248	-1
KCNH1	DB00204	-1
KCNH2	DB00204	-1
DRD2	DB01184	-1
ACHE	DB00843	-1
DRD4	DB00988	1
DRD5	DB00988	1
DRD3	DB00988	1
DRD2	DB00988	1
DRD1	DB00988	1
ADRB1	DB00988	1
CA2	DB00869	-1
KCNK3	DB00561	-1
KCNK9	DB00561	-1
ADRA1B	DB00590	-1
ADRA1D	DB00590	-1
ADRA1A	DB00590	-1
HRH1	DB01142	-1
SLC6A2	DB01142	-1
SLC6A4	DB01142	-1
VDR	DB06410	1
MMP8	DB00254	-1
MMP13	DB00254	-1
MMP7	DB00254	-1
HRH1	DB00366	-1
AR	DB00858	1
DRD2	DB00450	-1
HTR2A	DB00450	-1
PGR	DB01395	1
NR3C2	DB01395	-1
SRD5A1	DB01126	-1
SRD5A2	DB01126	-1
SCN10A	DB00645	-1
PGR	DB00378	1
PDE4B	DB00651	-1
PDE3A	DB00651	-1
ACHE	DB01057	-1
ACHE	DB01010	-1
ODC1	DB03856	-1
CACNA1H	DB09235	-1
HTR1F	DB00216	1
HTR1A	DB00216	1
HTR1E	DB00216	1
HTR1B	DB00216	1
HTR1D	DB00216	1
HRH1	DB01084	-1
ACE	DB00584	-1
ACE	DB00584	-1
GLRA1	DB00228	1
COMT	DB00494	-1
ADRB2	DB01364	1
HRH1	DB00751	-1
ADRA1D	DB00668	1
ADRA1B	DB00668	1
ADRA2A	DB00668	1
